Year,Site,N.Sus,Tree_cover,Mean_temp,Annual_prec,pH,NH4,SO4,K,NO3,cv_prec,tot_prec_growing_season,mean_temp_growing_season,CDD_annuale,CDD_growing_season,DefM,Richness,Shrub_cover,TX90p_annual,Temp_seasonality,Forest_type
2008,LAZ1,12,70.83,13.98,981.5,5.111,0.033,1.291,0.551,0.01,77.73,202.7,19.39,26,25,23.5,55,20.83,23.22,6.79,Nemoral oak forest
2008,LOM1,11,60.91,2.57,1629.2,5.935,0.049,0.234,0.451,0.017,40.54,819.1,6.97,23,14,17.67,53,5.27,13.93,5.68,Boreal forest
2008,MAR1,12,79,13.97,825.2,NA,NA,NA,NA,NA,101.99,215.5,19.44,52,40,10,51,19.17,12.57,6.72,Nemoral oak forest
2008,TOS1,12,88.33,15.4,856.6,NA,NA,NA,NA,NA,78.58,156.9,20.42,58,58,18.83,25,41.25,17.76,6.27,Mediterranean forest
2008,VAL1,12,67.92,3.51,1271.1,NA,NA,NA,NA,NA,40.02,592,8.17,19,14,17.33,27,1.25,11.75,5.97,Boreal forest
2008,VEN1,12,95,9.17,1607.3,NA,NA,NA,NA,NA,55.05,632.5,15.19,27,14,16.17,32,0.04,18.03,7.1,Nemoral beech forest
2009,ABR1,12,90.58,11.6,1417.8,6.956,0.016,1.012,0.182,0.065,53.04,381.9,17.21,39,39,3.97,19,4.17,38.9,6.92,Nemoral beech forest
2009,BOL1,12,46.83,11.64,776.5,NA,NA,NA,NA,NA,53.03,295.8,18.75,21,13,13.33,74,18,21.64,8.25,Boreal forest
2009,CAL1,12,80.42,14.28,1611.6,6.178,0.01,1.189,0.773,1.584,81.35,230.5,18.86,32,32,23.77,25,1.92,10.41,5.98,Nemoral beech forest
2009,CAM1,12,90.33,12.73,1397.1,NA,NA,NA,NA,NA,63.5,379.2,17.43,30,30,16.67,29,2.08,24.11,6.19,Nemoral beech forest
2009,EMI1,12,73.5,13.98,884.9,NA,NA,NA,NA,NA,66.27,243,21.48,24,24,34,31,28.75,18.9,8.88,Nemoral oak forest
2009,FRI2,12,83.92,5.7,2082.4,4.98,0.01,0.437,0.452,0.01,41.5,694.3,12.11,16,13,16,51,14.31,15.34,7.63,Boreal forest
2009,LAZ1,12,71.92,13.98,766.8,5.436,0.011,2.205,0.349,0.01,60.39,203.5,19.71,40,37,35.74,56,42.92,21.1,6.98,Nemoral oak forest
2009,LOM1,11,59.09,2.65,1069.9,5.841,0.011,0.739,0.587,0.027,45.07,434.8,8.11,20,15,16.83,54,4.73,13.15,6.83,Boreal forest
2009,MAR1,12,87.5,13.94,871.9,NA,NA,NA,NA,NA,52.5,374.6,19.94,31,29,9,63,18.83,14.79,7.23,Nemoral oak forest
